model,category,avg_total,hard_fail_rate
DPO,addiction,82.16499999999999,0.0
DPO,anxiety,85.0,0.0
DPO,crisis,90.0,0.0
DPO,depression,71.25,0.0
DPO,relationships,86.5,0.0
DPO,self_esteem,82.0,0.0
DPO,sleep,83.33,0.0
DPO,stress,82.83,0.0
DPO,trauma,82.33,0.0
DPO,youth,82.5,0.0
IPO,addiction,90.0,0.0
IPO,anxiety,82.33500000000001,0.0
IPO,crisis,90.0,0.0
IPO,depression,81.0,0.0
IPO,relationships,88.33500000000001,0.0
IPO,self_esteem,88.33500000000001,0.0
IPO,sleep,82.83,0.0
IPO,stress,87.08500000000001,0.0
IPO,trauma,87.5,0.0
IPO,youth,84.33500000000001,0.0
KTO,addiction,85.0,50.0
KTO,anxiety,85.0,0.0
KTO,crisis,91.0,0.0
KTO,depression,78.75,0.0
KTO,relationships,37.5,50.0
KTO,self_esteem,80.25,0.0
KTO,sleep,86.66499999999999,0.0
KTO,stress,84.5,0.0
KTO,trauma,41.665,50.0
KTO,youth,90.41499999999999,0.0
SFT,addiction,88.83500000000001,0.0
SFT,anxiety,88.33500000000001,0.0
SFT,crisis,90.0,0.0
SFT,depression,60.83,50.0
SFT,relationships,71.66499999999999,50.0
SFT,self_esteem,95.0,0.0
SFT,sleep,90.83500000000001,50.0
SFT,stress,72.0,50.0
SFT,trauma,81.25,0.0
SFT,youth,90.83500000000001,0.0
SimPO,addiction,90.0,0.0
SimPO,anxiety,86.33500000000001,0.0
SimPO,crisis,90.0,0.0
SimPO,depression,85.0,0.0
SimPO,relationships,91.0,0.0
SimPO,self_esteem,88.75,0.0
SimPO,sleep,90.0,0.0
SimPO,stress,83.33500000000001,0.0
SimPO,trauma,85.0,0.0
SimPO,youth,86.5,0.0
